Platform,Node Load Time (s),Edge Load Time (s),1-Hop p50 (ms),1-Hop p95 (ms),2-Hop p50 (ms),2-Hop p95 (ms),3-Hop p50 (ms),3-Hop p95 (ms),Point Lookup p50 (ms),Point Lookup p95 (ms),Indexed Lookup p50 (ms),Indexed Lookup p95 (ms),Count Nodes p50 (ms),Count Nodes p95 (ms),Count Edges p50 (ms),Count Edges p95 (ms),Concurrent QPS,Concurrent p50 (ms),Concurrent p95 (ms)
CognoDB,0.0,0.0,319.231,460.031,318.975,422.399,366.847,1627.135,307.455,410.111,316.415,416.767,319.487,418.047,310.783,513.279,5.8,309.986,496.139
FalkorDB,0.0,0.0,280.831,377.343,311.039,409.855,321.023,710.655,318.719,496.383,312.319,388.351,311.551,388.095,313.599,393.215,3.6,574.902,671.744
Neo4jAura,1.195,22.706,74.815,106.751,79.039,167.679,80.895,101.503,75.775,110.015,76.351,93.439,92.543,157.311,100.287,133.503,23.7,77.414,106.029
NetworkX,0.039,0.396,0.002,0.003,0.019,0.082,0.184,1.617,0.001,0.002,0.001,0.001,0.002,0.007,3.971,12.583,203770.3,0.003,0.007
TypeDB,22.424,42.46,1006.591,1212.415,952.831,1045.503,N/A,N/A,946.687,1228.799,959.999,1097.727,970.751,1120.255,1101.823,1274.879,2.4,864.491,996.619
