Platform,Node Load Time (s),Edge Load Time (s),1-Hop p50 (ms),1-Hop p95 (ms),2-Hop p50 (ms),2-Hop p95 (ms),3-Hop p50 (ms),3-Hop p95 (ms),Point Lookup p50 (ms),Point Lookup p95 (ms),Indexed Lookup p50 (ms),Indexed Lookup p95 (ms),Count Nodes p50 (ms),Count Nodes p95 (ms),Count Edges p50 (ms),Count Edges p95 (ms),Concurrent QPS,Concurrent p50 (ms),Concurrent p95 (ms)
CognoDB,2.863,2.24,308.735,419.839,396.031,417.791,357.887,422.655,322.815,431.871,316.927,437.503,374.527,637.951,373.759,439.295,5.2,407.103,506.03
FalkorDB,2.151,3.788,307.455,410.623,307.967,410.623,313.855,414.975,307.455,415.999,307.199,409.855,307.199,410.623,307.455,414.463,3.4,585.083,1025.482
NebulaGraph,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Neo4jAura,1.967,11.789,102.591,237.439,102.783,281.087,102.975,175.615,102.655,177.791,102.591,179.711,102.399,153.343,102.527,166.271,17.0,102.694,171.894
TypeDB,0.0,0.0,1098.751,1331.199,1126.399,1235.967,N/A,N/A,1096.703,1264.639,1116.159,1271.807,1026.559,1258.495,1126.399,1238.015,2.0,1116.884,1128.74
